ID,Date,title,category,account,amount,currency,type,transfer_amount,transfer_currency,to_account,receive_amount,receive_currency,description,due_date
128,30-05-2024,Baba,Bills & Fees,Savings Bank,"1,000.00",INR,EXPENSE,0,None,None,0,None,No-description,None
129,29-05-2024,Snacks,Food & Drinks,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
130,29-05-2024,Reward,Bills & Fees,Salary Bank,11,INR,INCOME,0,None,None,0,None,No-description,None
131,29-05-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
132,28-05-2024,Shirt,Bills & Fees,Salary Bank,160,INR,EXPENSE,0,None,None,0,None,No-description,None
133,28-05-2024,Bus,Transport,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
134,28-05-2024,Juice,Food & Drinks,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
135,28-05-2024,Withdraw,Bills & Fees,Salary Bank,0,INR,TRANSFER,300,INR,Cash,300,INR,No-description,None
136,28-05-2024,Auto,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
137,27-05-2024,Recharge,Bills & Fees,Salary Bank,155,INR,EXPENSE,0,None,None,0,None,No-description,None
138,27-05-2024,Chotu,Bills & Fees,Salary Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
139,27-05-2024,Adjust balance,Unknown,Salary Bank,56,INR,EXPENSE,0,None,None,0,None,No-description,None
140,27-05-2024,Snacks,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
141,26-05-2024,Shampoo,Bills & Fees,Cash,4,INR,EXPENSE,0,None,None,0,None,No-description,None
142,26-05-2024,Petrol,Bills & Fees,Salary Bank,250,INR,EXPENSE,0,None,None,0,None,No-description,None
143,26-05-2024,Stationary,Bills & Fees,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
144,25-05-2024,Ice cream,Food & Drinks,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
145,25-05-2024,Snacks,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
146,25-05-2024,Lunch,Food & Drinks,Salary Bank,70,INR,EXPENSE,0,None,None,0,None,No-description,None
147,25-05-2024,Auto,Transport,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
148,24-05-2024,Bus,Transport,Cash,40,INR,EXPENSE,0,None,None,0,None,No-description,None
149,24-05-2024,Auto,Transport,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
150,24-05-2024,Juice,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
151,24-05-2024,Printing,Bills & Fees,Salary Bank,555,INR,EXPENSE,0,None,None,0,None,No-description,None
152,23-05-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
153,21-05-2024,Recharge,Bills & Fees,Salary Bank,259,INR,EXPENSE,0,None,None,0,None,No-description,None
154,21-05-2024,Internet,Bills & Fees,Salary Bank,470.82,INR,EXPENSE,0,None,None,0,None,No-description,None
155,21-05-2024,Juice,Food & Drinks,Salary Bank,10,INR,EXPENSE,0,None,None,0,None,No-description,None
156,21-05-2024,Brake,Bills & Fees,Salary Bank,50,INR,EXPENSE,0,None,None,0,None,No-description,None
157,21-05-2024,Ice Cream,Food & Drinks,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
158,21-05-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
159,21-05-2024,Adjust balance,Unknown,Cash,40,INR,EXPENSE,0,None,None,0,None,No-description,None
160,20-05-2024,Juice,Food & Drinks,Salary Bank,75,INR,EXPENSE,0,None,None,0,None,No-description,None
161,20-05-2024,Juice,Food & Drinks,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
162,19-05-2024,Tickets,Bills & Fees,Salary Bank,"1,341.80",INR,EXPENSE,0,None,None,0,None,No-description,None
163,19-05-2024,Tickets,Bills & Fees,Salary Bank,"1,341.80",INR,EXPENSE,0,None,None,0,None,No-description,None
164,19-05-2024,Maggi,Food & Drinks,Salary Bank,14,INR,EXPENSE,0,None,None,0,None,No-description,None
165,17-05-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
166,16-05-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
167,15-05-2024,Juice,Food & Drinks,Salary Bank,130,INR,EXPENSE,0,None,None,0,None,No-description,None
168,15-05-2024,Shawarma ,Food & Drinks,Salary Bank,220,INR,EXPENSE,0,None,None,0,None,No-description,None
169,15-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
170,15-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
171,15-05-2024,AtR,Transport,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
172,14-05-2024,Recharge,Transport,Salary Bank,0,INR,TRANSFER,200,INR,Metro Card,200,INR,No-description,None
173,14-05-2024,Juice,Food & Drinks,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
174,14-05-2024,Bus,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
175,14-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
176,14-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
177,12-05-2024,Snacks,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
178,10-05-2024,Snacks,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
179,10-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
180,10-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
181,09-05-2024,Screen,Bills & Fees,Salary Bank,"1,400.00",INR,EXPENSE,0,None,None,0,None,No-description,None
182,09-05-2024,Snacks,Food & Drinks,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
183,09-05-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
184,08-05-2024,Juice,Food & Drinks,Salary Bank,80,INR,EXPENSE,0,None,None,0,None,No-description,None
185,08-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
186,08-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
187,08-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
188,08-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
189,07-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
190,07-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
191,07-05-2024,Shawarma,Food & Drinks,Salary Bank,120,INR,EXPENSE,0,None,None,0,None,No-description,None
192,07-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
193,06-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
194,06-05-2024,Petrol,Bills & Fees,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
195,06-05-2024,RtA,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
196,06-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
197,06-05-2024,Juice,Food & Drinks,Salary Bank,40,INR,EXPENSE,0,None,None,0,None,No-description,None
198,06-05-2024,Lunch,Food & Drinks,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
199,06-05-2024,Adjust balance,Unknown,Salary Bank,80,INR,INCOME,0,None,None,0,None,No-description,None
200,06-05-2024,Adjust balance,Unknown,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
201,04-05-2024,Petrol,Transport,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
202,04-05-2024,Medic,Bills & Fees,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
203,03-05-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
204,03-05-2024,Recharge,Bills & Fees,Salary Bank,266.9,INR,EXPENSE,0,None,None,0,None,No-description,None
205,03-05-2024,Petrol,Transport,Salary Bank,50,INR,EXPENSE,0,None,None,0,None,No-description,None
206,02-05-2024,Exam Fees,Bills & Fees,Salary Bank,"2,000.00",INR,EXPENSE,0,None,None,0,None,No-description,None
207,02-05-2024,Juice,Food & Drinks,Salary Bank,80,INR,EXPENSE,0,None,None,0,None,No-description,None
208,02-05-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
209,02-05-2024,Auto,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
210,02-05-2024,Juice,Food & Drinks,Salary Bank,80,INR,EXPENSE,0,None,None,0,None,No-description,None
211,02-05-2024,Snacks,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
212,02-05-2024,Savings,Unknown,Salary Bank,0,INR,TRANSFER,"2,000.00",INR,Savings Bank,"2,000.00",INR,No-description,None
213,02-05-2024,Netflix,Bills & Fees,Salary Bank,199,INR,EXPENSE,0,None,None,0,None,No-description,None
214,02-05-2024,Baba,Bills & Fees,Salary Bank,"5,000.00",INR,EXPENSE,0,None,None,0,None,No-description,None
215,01-05-2024,Adjust balance,Unknown,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
216,01-05-2024,Recharge,Bills & Fees,Salary Bank,155,INR,EXPENSE,0,None,None,0,None,No-description,None
217,01-05-2024,Juice,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
218,01-05-2024,Recharge,Transport,Salary Bank,0,INR,TRANSFER,200,INR,Metro Card,200,INR,No-description,None
219,01-05-2024,Withdraw,Unknown,Salary Bank,0,INR,TRANSFER,300,INR,Cash,300,INR,No-description,None
220,01-05-2024,RtA,Transport,Cash,35,INR,EXPENSE,0,None,None,0,None,No-description,None
221,01-05-2024,AtR,Transport,Metro Card,35,INR,EXPENSE,0,None,None,0,None,No-description,None
222,01-05-2024,Water,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
223,30-04-2024,Salary,Bills & Fees,Salary Bank,"19,367.00",INR,INCOME,0,None,None,0,None,No-description,None
224,30-04-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
225,30-04-2024,AtR,Transport,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
226,30-04-2024,RtA,Transport,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
227,30-04-2024,Juice,Food & Drinks,Salary Bank,90,INR,EXPENSE,0,None,None,0,None,No-description,None
228,29-04-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
229,29-04-2024,RtA,Transport,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
230,29-04-2024,Adjust balance,Unknown,Cash,80,INR,EXPENSE,0,None,None,0,None,No-description,None
231,29-04-2024,Bus,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
232,29-04-2024,AtR,Transport,Salary Bank,35,INR,EXPENSE,0,None,None,0,None,No-description,None
233,28-04-2024,Baba,Bills & Fees,Salary Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
234,28-04-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
235,27-04-2024,ðŸ°,Food & Drinks,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
236,27-04-2024,Milk,Bills & Fees,Salary Bank,40,INR,EXPENSE,0,None,None,0,None,No-description,None
237,27-04-2024,Snacks,Food & Drinks,Salary Bank,90,INR,EXPENSE,0,None,None,0,None,No-description,None
238,27-04-2024,Water,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
239,27-04-2024,Juice,Food & Drinks,Salary Bank,120,INR,EXPENSE,0,None,None,0,None,No-description,None
240,27-04-2024,Water,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
241,27-04-2024,Lunch,Food & Drinks,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
242,27-04-2024,Sujith,Bills & Fees,Salary Bank,100,INR,INCOME,0,None,None,0,None,No-description,None
243,27-04-2024,Priyanka,Bills & Fees,Salary Bank,300,INR,INCOME,0,None,None,0,None,No-description,None
244,27-04-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
245,26-04-2024,Juice,Food & Drinks,Salary Bank,49,INR,EXPENSE,0,None,None,0,None,No-description,None
246,26-04-2024,Chotu,Bills & Fees,Salary Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
247,26-04-2024,Snacks,Food & Drinks,Salary Bank,10,INR,EXPENSE,0,None,None,0,None,No-description,None
248,26-04-2024,Drink,Food & Drinks,Salary Bank,49,INR,EXPENSE,0,None,None,0,None,No-description,None
249,26-04-2024,Lunch,Food & Drinks,Salary Bank,120,INR,EXPENSE,0,None,None,0,None,No-description,None
250,26-04-2024,Water,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
251,26-04-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
